index,English,Indonesian,ParseTree,Complexity,English_normalized,Indonesian_normalized
4151,He put on sunglasses to protect his eyes from ultraviolet rays.,Dia memakai kacamata hitam untuk melindungi matanya dari sinar ultraungu.,(S (NP (PRP He)) (VP (VBD put) (PRT (RP on)) (NP (NNS sunglasses)) (S (VP (TO to) (VP (VB protect) (NP (PRP$ his) (NNS eyes)) (PP (IN from) (NP (JJ ultraviolet) (NNS rays))))))) (. .)),simple,he put on sunglasses to protect his eyes from ultraviolet rays .,dia memakai kacamata hitam untuk melindungi matanya dari sinar ultraungu .
2994,Where else in Boston do you want to go?,"Di Boston, kamu ingin pergi ke mana lagi?",(SBARQ (WHNP (WHADVP (WRB Where) (RB else)) (PP (IN in) (NP (NNP Boston)))) (SQ (VBP do) (NP (PRP you)) (VP (VB want) (S (VP (TO to) (VP (VB go)))))) (. ?)),simple,where else in boston do you want to go ?,di boston kamu ingin pergi ke mana lagi ?
3371,The Nile River is the longest in the world.,Sungai Nil adalah sungai terpanjang di dunia.,(S (NP (DT The) (NNP Nile) (NNP River)) (VP (VBZ is) (NP (NP (DT the) (JJS longest)) (PP (IN in) (NP (DT the) (NN world))))) (. .)),simple,the nile river is the longest in the world .,sungai nil adalah sungai terpanjang di dunia .
3227,Countless stars were twinkling in the sky.,Bintang yang tak terkian berkerlapan di langit.,(S (NP (JJ Countless) (NNS stars)) (VP (VBD were) (VP (VBG twinkling) (PP (IN in) (NP (DT the) (NN sky))))) (. .)),simple,countless stars were twinkling in the sky .,bintang yang tak terkian berkerlapan di langit .
2788,I meet with him once every six months.,Aku bertemu dengannya tiap enam bulan sekali.,(S (NP (PRP I)) (VP (VBP meet) (PP (IN with) (NP (PRP him))) (ADVP (RB once)) (NP (DT every) (CD six) (NNS months))) (. .)),simple,i meet with him once every six months .,aku bertemu dengannya tiap enam bulan sekali .
1590,This line is parallel to that.,Garis ini sejajar dengan garis itu.,(S (NP (DT This) (NN line)) (VP (VBZ is) (ADJP (JJ parallel) (PP (IN to) (NP (DT that))))) (. .)),simple,this line is parallel to that .,garis ini sejajar dengan garis itu .
194,I believe in ghosts.,Aku percaya akan adanya hantu.,(S (NP (PRP I)) (VP (VBP believe) (PP (IN in) (NP (NNS ghosts)))) (. .)),simple,i believe in ghosts .,aku percaya akan adanya hantu .
450,Health is above wealth.,Kesehatan di atas kekayaan.,(S (NP (NN Health)) (VP (VBZ is) (PP (IN above) (NP (NN wealth)))) (. .)),simple,health is above wealth .,kesehatan di atas kekayaan .
2015,Don't hesitate to ask for advice.,Jangan sungkan untuk meminta saran.,(S (VP (VBP Do) (RB n't) (VP (VB hesitate) (S (VP (TO to) (VP (VB ask) (PP (IN for) (NP (NN advice)))))))) (. .)),simple,don t hesitate to ask for advice .,jangan sungkan untuk meminta saran .
865,I also plan on doing that.,Aku juga berencana melakukan itu.,(S (NP (PRP I)) (ADVP (RB also)) (VP (VBP plan) (PP (IN on) (S (VP (VBG doing) (NP (DT that)))))) (. .)),simple,i also plan on doing that .,aku juga berencana melakukan itu .
3908,"If you lie down with dogs, you'll get up with fleas.","Bercampur dengan orang pemaling, sekurang-kurangnya jadi pencecak.","(S (SBAR (IN If) (S (NP (PRP you)) (VP (VBP lie) (ADVP (RP down)) (PP (IN with) (NP (NNS dogs)))))) (, ,) (NP (PRP you)) (VP (MD 'll) (VP (VB get) (ADVP (RP up)) (PP (IN with) (NP (NNS fleas))))) (. .))",complex,if you lie down with dogs you ll get up with fleas .,bercampur dengan orang pemaling sekurang kurangnya jadi pencecak .
4127,Please mail this letter on your next trip to the post office.,Tolong kirimkan surat ini pada kesempatan berikutnya ke kantor pos.,(S (VB Please) (VP (VB mail) (NP (DT this) (NN letter)) (PP (IN on) (NP (NP (PRP$ your) (JJ next) (NN trip)) (PP (IN to) (NP (DT the) (NN post) (NN office)))))) (. .)),simple,please mail this letter on your next trip to the post office .,tolong kirimkan surat ini pada kesempatan berikutnya ke kantor pos .
29,Give it to him.,Berikan itu padanya.,(S (VP (VB Give) (NP (PRP it)) (PP (IN to) (NP (PRP him)))) (. .)),simple,give it to him .,berikan itu padanya .
3682,The teacher told them not to swim in the river.,Bu guru memberi tahu mereka agar tidak berenang di sungai.,(S (NP (DT The) (NN teacher)) (VP (VBD told) (NP (PRP them)) (S (RB not) (VP (TO to) (VP (VB swim) (PP (IN in) (NP (DT the) (NN river))))))) (. .)),simple,the teacher told them not to swim in the river .,bu guru memberi tahu mereka agar tidak berenang di sungai .
4273,"Tom told Mary that he was going to Boston, but he told John that he was going to Chicago.","Tom memberi tahu Mary bahwa dia akan pergi ke Boston, tetapi dia memberi tahu John bahwa dia akan pergi ke Chicago.","(S (S (NP (NNP Tom)) (VP (VBD told) (NP (NNP Mary)) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD was) (VP (VBG going) (PP (IN to) (NP (NNP Boston))))))))) (, ,) (CC but) (S (NP (PRP he)) (VP (VBD told) (NP (NNP John)) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD was) (VP (VBG going) (PP (IN to) (NP (NNP Chicago))))))))) (. .))",complex,tom told mary that he was going to boston but he told john that he was going to chicago .,tom memberi tahu mary bahwa dia akan pergi ke boston tetapi dia memberi tahu john bahwa dia akan pergi ke chicago .
3810,He is capable of teaching both English and French.,Dia mampu mengajar bahasa Inggris maupun bahasa Prancis.,(S (NP (PRP He)) (VP (VBZ is) (ADJP (JJ capable) (PP (IN of) (S (VP (VBG teaching) (NP (DT both) (NNP English) (CC and) (NNP French))))))) (. .)),simple,he is capable of teaching both english and french .,dia mampu mengajar bahasa inggris maupun bahasa prancis .
2233,Smoking is forbidden in this area.,Dilarang merokok di area ini.,(S (NP (NN Smoking)) (VP (VBZ is) (ADJP (VBN forbidden)) (PP (IN in) (NP (DT this) (NN area)))) (. .)),simple,smoking is forbidden in this area .,dilarang merokok di area ini .
3439,I will give you a bicycle for your birthday.,Aku akan berikan kamu sepeda di hari ulang tahunmu.,(S (NP (PRP I)) (VP (MD will) (VP (VB give) (NP (PRP you)) (NP (DT a) (NN bicycle)) (PP (IN for) (NP (PRP$ your) (NN birthday))))) (. .)),simple,i will give you a bicycle for your birthday .,aku akan berikan kamu sepeda di hari ulang tahunmu .
4108,I make it a rule not to watch television after nine o'clock.,Saya membuat aturan untuk tidak menonton televisi setelah jam sembilan.,(S (NP (PRP I)) (VP (VBP make) (S (NP (NP (NP (PRP it))) (NP (DT a) (NN rule))) (S (RB not) (VP (TO to) (VP (VB watch) (NP (NN television)) (PP (IN after) (NP (CD nine) (NN o'clock)))))))) (. .)),simple,i make it a rule not to watch television after nine o clock .,saya membuat aturan untuk tidak menonton televisi setelah jam sembilan .
2495,He pressed his ear against the wall.,Dia menekan telinganya ke tembok.,(S (NP (PRP He)) (VP (VBD pressed) (NP (PRP$ his) (NN ear)) (PP (IN against) (NP (DT the) (NN wall)))) (. .)),simple,he pressed his ear against the wall .,dia menekan telinganya ke tembok .
657,Try to keep from crying.,Cobalah untuk tidak menangis.,(S (VP (VB Try) (S (VP (TO to) (VP (VB keep) (PP (IN from) (S (VP (VBG crying)))))))) (. .)),simple,try to keep from crying .,cobalah untuk tidak menangis .
3345,It takes 10 minutes to walk to the station.,Memerlukan waktu 10 menit untuk bisa sampai ke stasiun dengan berjalan kaki.,(S (NP (NP (PRP It))) (VP (VBZ takes) (NP (CD 10) (NNS minutes)) (S (VP (TO to) (VP (VB walk) (PP (IN to) (NP (DT the) (NN station))))))) (. .)),simple,it takes minutes to walk to the station .,memerlukan waktu menit untuk bisa sampai ke stasiun dengan berjalan kaki .
1114,What on earth is happening?,Apa yang sedang terjadi?,(SBARQ (WHNP (WHNP (WP What)) (PP (IN on) (NP (NN earth)))) (SQ (VBZ is) (VP (VBG happening))) (. ?)),simple,what on earth is happening ?,apa yang sedang terjadi ?
4120,Brazil is surrounded by ten countries and the Atlantic Ocean.,Brasil dikelilingi oleh sepuluh negara dan Samudra Atlantik.,(S (NP (NNP Brazil)) (VP (VBZ is) (VP (VBN surrounded) (PP (IN by) (NP (NP (CD ten) (NNS countries)) (CC and) (NP (DT the) (NNP Atlantic) (NNP Ocean)))))) (. .)),simple,brazil is surrounded by ten countries and the atlantic ocean .,brasil dikelilingi oleh sepuluh negara dan samudra atlantik .
2607,Tom returned to Australia last week.,Tom kembali ke Australia minggu lalu.,(S (NP (NNP Tom)) (VP (VBD returned) (PP (IN to) (NP (NNP Australia))) (NP (JJ last) (NN week))) (. .)),simple,tom returned to australia last week .,tom kembali ke australia minggu lalu .
293,Should I go with you?,Apa perlu aku temani?,(SQ (MD Should) (NP (PRP I)) (VP (VB go) (PP (IN with) (NP (PRP you)))) (. ?)),simple,should i go with you ?,apa perlu aku temani ?
1867,I want to go on a trip with you.,Aku ingin pergi jalan-jalan denganmu.,(S (NP (PRP I)) (VP (VBP want) (S (VP (TO to) (VP (VB go) (PP (IN on) (NP (NP (DT a) (NN trip)) (PP (IN with) (NP (PRP you))))))))) (. .)),simple,i want to go on a trip with you .,aku ingin pergi jalan jalan denganmu .
4125,Japanese houses are built of wood and they catch fire easily.,"Rumah-rumah orang Jepang terbuat dari kayu, sehingga rentan untuk terbakar.",(S (S (NP (JJ Japanese) (NNS houses)) (VP (VBP are) (VP (VBN built) (PP (IN of) (NP (NN wood)))))) (CC and) (S (NP (PRP they)) (VP (VBP catch) (NP (NN fire)) (ADVP (RB easily)))) (. .)),compound,japanese houses are built of wood and they catch fire easily .,rumah rumah orang jepang terbuat dari kayu sehingga rentan untuk terbakar .
1225,They left one after another.,Mereka pergi satu per satu.,(S (NP (PRP They)) (VP (VBD left) (NP (NP (CD one)) (PP (IN after) (NP (DT another))))) (. .)),simple,they left one after another .,mereka pergi satu per satu .
1953,Tom put on one of John's shirts.,Tom mengenakan salah satu baju milik John.,(S (NP (NNP Tom)) (VP (VBD put) (PP (RP on) (NP (NP (CD one)) (PP (IN of) (NP (NP (NNP John) (POS 's)) (NNS shirts)))))) (. .)),simple,tom put on one of john s shirts .,tom mengenakan salah satu baju milik john .
222,Tom died in October.,Tom meninggal pada bulan Oktober.,(S (NP (NNP Tom)) (VP (VBD died) (PP (IN in) (NP (NNP October)))) (. .)),simple,tom died in october .,tom meninggal pada bulan oktober .
2574,There are plenty of fish in the sea.,"Pecah buyung, tempayan ada.",(S (NP (EX There)) (VP (VBP are) (NP (NP (NN plenty)) (PP (IN of) (NP (NN fish)))) (PP (IN in) (NP (DT the) (NN sea)))) (. .)),simple,there are plenty of fish in the sea .,pecah buyung tempayan ada .
1075,The cat slept on the table.,Kucing itu tidur di atas meja.,(S (NP (DT The) (NN cat)) (VP (VBD slept) (PP (IN on) (NP (DT the) (NN table)))) (. .)),simple,the cat slept on the table .,kucing itu tidur di atas meja .
573,I go to school at seven.,Aku pergi ke sekolah pada pukul tujuh.,(S (NP (PRP I)) (VP (VBP go) (PP (IN to) (NP (NN school))) (PP (IN at) (NP (CD seven)))) (. .)),simple,i go to school at seven .,aku pergi ke sekolah pada pukul tujuh .
3024,I will be traveling in Europe next week.,Saya akan bepergian di Eropa minggu depan.,(S (NP (PRP I)) (VP (MD will) (VP (VB be) (VP (VBG traveling) (PP (IN in) (NP (NNP Europe))) (NP (JJ next) (NN week))))) (. .)),simple,i will be traveling in europe next week .,saya akan bepergian di eropa minggu depan .
3827,She is still financially dependent on her parents.,Dia masih bergantung secara finansial kepada orang tuanya.,(S (NP (PRP She)) (VP (VBZ is) (ADVP (RB still)) (ADJP (RB financially) (JJ dependent) (PP (IN on) (NP (PRP$ her) (NNS parents))))) (. .)),simple,she is still financially dependent on her parents .,dia masih bergantung secara finansial kepada orang tuanya .
1812,"As a rule, I don't drink coffee.",Saya terbiasa untuk tidak meminum kopi.,"(S (PP (IN As) (NP (DT a) (NN rule))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB drink) (NP (NN coffee)))) (. .))",simple,as a rule i don t drink coffee .,saya terbiasa untuk tidak meminum kopi .
3931,I met Tom just the other day in front of the station.,Waktu lalu saya bertemu Tom di depan stasiun.,(S (NP (PRP I)) (VP (VBD met) (NP (NNP Tom)) (NP (RB just) (DT the) (JJ other) (NN day)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (DT the) (NN station)))))) (. .)),simple,i met tom just the other day in front of the station .,waktu lalu saya bertemu tom di depan stasiun .
812,We are worried about you.,Kami mengkhawatirkanmu.,(S (NP (PRP We)) (VP (VBP are) (ADJP (VBN worried) (PP (IN about) (NP (PRP you))))) (. .)),simple,we are worried about you .,kami mengkhawatirkanmu .
2564,The bomb will explode in 10 seconds.,Bom akan meledak dalam waktu 10 detik.,(S (NP (DT The) (NN bomb)) (VP (MD will) (VP (VB explode) (PP (IN in) (NP (CD 10) (NNS seconds))))) (. .)),simple,the bomb will explode in seconds .,bom akan meledak dalam waktu detik .
3551,Tom has lived in Boston for most of his life.,Tom sebagian besar hidupnya tinggal di Boston,(S (NP (NNP Tom)) (VP (VBZ has) (VP (VBN lived) (PP (IN in) (NP (NNP Boston))) (PP (IN for) (NP (NP (JJS most)) (PP (IN of) (NP (PRP$ his) (NN life))))))) (. .)),simple,tom has lived in boston for most of his life .,tom sebagian besar hidupnya tinggal di boston
4256,Tom bought two chocolate cupcakes with vanilla icing and gave one of them to Mary.,Tom membeli dua kapkek coklat dengan taburan vanila dan memberikannya satu ke Mary.,(S (NP (NNP Tom)) (VP (VP (VBD bought) (NP (NP (CD two) (NN chocolate) (NNS cupcakes)) (PP (IN with) (NP (NN vanilla) (NN icing))))) (CC and) (VP (VBD gave) (NP (NP (CD one)) (PP (IN of) (NP (PRP them)))) (PP (IN to) (NP (NNP Mary))))) (. .)),simple,tom bought two chocolate cupcakes with vanilla icing and gave one of them to mary .,tom membeli dua kapkek coklat dengan taburan vanila dan memberikannya satu ke mary .
418,We must wait for them.,Kita harus menunggu mereka.,(S (NP (PRP We)) (VP (MD must) (VP (VB wait) (PP (IN for) (NP (PRP them))))) (. .)),simple,we must wait for them .,kita harus menunggu mereka .
3897,He was strong enough to help his father on the farm.,Dia cukup kuat untuk membantu ayahnya di kebun.,(S (NP (PRP He)) (VP (VBD was) (ADJP (JJ strong) (RB enough) (S (VP (TO to) (VP (VB help) (NP (PRP$ his) (NN father)) (PP (IN on) (NP (DT the) (NN farm)))))))) (. .)),simple,he was strong enough to help his father on the farm .,dia cukup kuat untuk membantu ayahnya di kebun .
4150,You're the one person I can rely on in this kind of situation.,Kau adalah orang yang bisa kuandalkan dalam keadaan seperti ini.,(S (NP (PRP You)) (VP (VBP 're) (NP (NP (DT the) (CD one) (NN person)) (SBAR (S (NP (PRP I)) (VP (MD can) (VP (VB rely) (PP (IN on)) (PP (IN in) (NP (NP (DT this) (NN kind)) (PP (IN of) (NP (NN situation))))))))))) (. .)),complex,you re the one person i can rely on in this kind of situation .,kau adalah orang yang bisa kuandalkan dalam keadaan seperti ini .
80,Let's run for it.,Ayo lari.,(S (VP (VB Let) (S (NP (PRP 's)) (VP (VB run) (PP (IN for) (NP (PRP it)))))) (. .)),simple,let s run for it .,ayo lari .
257,He is good at tennis.,Dia jago bermain tenis.,(S (NP (PRP He)) (VP (VBZ is) (ADJP (JJ good) (PP (IN at) (NP (NN tennis))))) (. .)),simple,he is good at tennis .,dia jago bermain tenis .
295,Stay out of the rain.,Jangan sampai kehujanan.,(S (VP (VB Stay) (PP (IN out) (PP (IN of) (NP (DT the) (NN rain))))) (. .)),simple,stay out of the rain .,jangan sampai kehujanan .
3747,"Tom is from Boston, but now he lives in Chicago.","Tom berasal dari Boston, namun sekarang tinggal di Chicago.","(S (S (NP (NNP Tom)) (VP (VBZ is) (PP (IN from) (NP (NNP Boston))))) (, ,) (CC but) (S (ADVP (RB now)) (NP (PRP he)) (VP (VBZ lives) (PP (IN in) (NP (NNP Chicago))))) (. .))",compound,tom is from boston but now he lives in chicago .,tom berasal dari boston namun sekarang tinggal di chicago .
2293,Tom works every day except Sunday.,Tom bekerja setiap hari kecuali hari Minggu.,(S (NP (NNP Tom)) (VP (VBZ works) (NP (NP (DT every) (NN day)) (PP (IN except) (NP (NNP Sunday))))) (. .)),simple,tom works every day except sunday .,tom bekerja setiap hari kecuali hari minggu .
2389,Look up the word in the dictionary.,Lihat katanya di kamus.,(S (VP (VB Look) (PRT (RP up)) (NP (NP (DT the) (NN word)) (PP (IN in) (NP (DT the) (NN dictionary))))) (. .)),simple,look up the word in the dictionary .,lihat katanya di kamus .
3123,He was elected governor of Texas in 1994.,Dia terpilih sebagai Gubernur Texas pada tahun 1994.,(S (NP (PRP He)) (VP (VBD was) (VP (VBN elected) (S (NP (NP (NN governor)) (PP (IN of) (NP (NNP Texas))))) (PP (IN in) (NP (CD 1994))))) (. .)),simple,he was elected governor of texas in .,dia terpilih sebagai gubernur texas pada tahun .
3232,He comes back from Singapore next January.,Dia kembali dari Singapura bulan Januari depan.,(S (NP (PRP He)) (VP (VBZ comes) (ADVP (ADVP (RB back)) (PP (IN from) (NP (NNP Singapore)))) (NP (JJ next) (NNP January))) (. .)),simple,he comes back from singapore next january .,dia kembali dari singapura bulan januari depan .
1621,We went swimming in the river.,Kami pergi berenang di sungai.,(S (NP (PRP We)) (VP (VBD went) (S (VP (VBG swimming) (PP (IN in) (NP (DT the) (NN river)))))) (. .)),simple,we went swimming in the river .,kami pergi berenang di sungai .
3698,What kind of music do you want at your wedding?,Jenis musik apa yang Anda inginkan pada pernikahan Anda?,(SBARQ (WHNP (WHNP (WP What) (NN kind)) (PP (IN of) (NP (NN music)))) (SQ (VBP do) (NP (PRP you)) (VP (VB want) (PP (IN at) (NP (PRP$ your) (NN wedding))))) (. ?)),simple,what kind of music do you want at your wedding ?,jenis musik apa yang anda inginkan pada pernikahan anda ?
3378,The police found three wallets in your car.,Polisi menemukan tiga dompet di dalam mobilmu.,(S (NP (DT The) (NN police)) (VP (VBD found) (NP (CD three) (NNS wallets)) (PP (IN in) (NP (PRP$ your) (NN car)))) (. .)),simple,the police found three wallets in your car .,polisi menemukan tiga dompet di dalam mobilmu .
1207,Smoking in bed is dangerous.,Merokok di tempat tidur itu berbahaya.,(S (S (VP (VBG Smoking) (PP (IN in) (NP (NN bed))))) (VP (VBZ is) (ADJP (JJ dangerous))) (. .)),simple,smoking in bed is dangerous .,merokok di tempat tidur itu berbahaya .
2934,Now it's time for the weather forecast.,Sekarang waktunya ramalan cuaca.,(S (ADVP (RB Now)) (NP (PRP it)) (VP (VBZ 's) (NP (NP (NN time)) (PP (IN for) (NP (DT the) (NN weather) (NN forecast))))) (. .)),simple,now it s time for the weather forecast .,sekarang waktunya ramalan cuaca .
3453,Life without love is just totally pointless.,Hidup tanpa cinta sama sekali tidak bermakna.,(S (NP (NP (NN Life)) (PP (IN without) (NP (NN love)))) (VP (VBZ is) (ADJP (RB just) (RB totally) (JJ pointless))) (. .)),simple,life without love is just totally pointless .,hidup tanpa cinta sama sekali tidak bermakna .
3235,He was spreading mulch in the flower beds.,Dia menyebar mulsa di ladang bunga.,(S (NP (PRP He)) (VP (VBD was) (VP (VBG spreading) (NP (NN mulch)) (PP (IN in) (NP (DT the) (NN flower) (NNS beds))))) (. .)),simple,he was spreading mulch in the flower beds .,dia menyebar mulsa di ladang bunga .
